"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.Age","MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.Age","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.2","9.9.2.5.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.Age",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.AgeRangeLow","MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.AgeRangeLow","","","",0,1,"","","","Quantity {[]} {[]}
","9.9.2.5.3","9.9.2.5.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.AgeRangeLow",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.AgeRangeHigh","MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.AgeRangeHigh","","","",0,1,"","","","Quantity {[]} {[]}
","9.9.2.5.4","9.9.2.5.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.AgeRangeHigh",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.Gender","MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.Gender","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.5","9.9.2.5.5","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.Gender",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.Race","MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.Race","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.6","9.9.2.5.6","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.Race",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.PhysiologicalCondition","MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.PhysiologicalCondition","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.5.7","9.9.2.5.7","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.PopulationSpecifics.PhysiologicalCondition",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects","","","",0,*,"","","","BackboneElement {[]} {[]}
","9.9.2.4","9.9.2.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects",0,*,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.UndesirableEffectText","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.UndesirableEffectText","","","",1,1,"","","","string {[]} {[]}
","9.9.2.4.2","9.9.2.4.2","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.UndesirableEffectText",1,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.UndesirableEffectAsSymptom-Condition-Effect","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.UndesirableEffectAsSymptom-Condition-Effect","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.4.3","9.9.2.4.3","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.UndesirableEffectAsSymptom-Condition-Effect",0,1,"",""
"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.Symptom-Condition-EffectClassification","MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.Symptom-Condition-EffectClassification","","","",0,1,"","","","CodeableConcept {[]} {[]}
","9.9.2.4.4","9.9.2.4.4","","","","","","","","","",,,,,"",,,,"MedicinalProduct.Contraindication.TherapeuticIndication.UndesirableEffects.Symptom-Condition-EffectClassification",0,1,"",""
